
***************************************************
* ODP 3.07.7.3701 - GNSDK 3.07.7 for Linux (x86_64)
* Logging started:	2016-04-25 11:08:31,684 	

2016-04-25 11:08:32,869 	ERROR    	Socket       	0xB907B700	gcsl_socket.c[828]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:32,933 	ERROR    	Socket       	0xB907B700	gcsl_http_impl.c[402]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:32,933 	ERROR    	HTTP         	0xB907B700	[no_source]	Error (0x9004008b) receiving from host
2016-04-25 11:08:32,933 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[2093]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:32,991 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[933]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:32,991 	ERROR    	HTTP         	0xB907B700	gcsp_connection.c[444]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:32,991 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[1244]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:32,991 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[217]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:32,991 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[2613]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:32,992 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[3051]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:32,992 	ERROR    	HTTP         	0xB907B700	sdkmgr_intf_lookup.c[721]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:32,992 	ERROR    	HTTP         	0xB907B700	mids_requests.c[1070]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,086 	ERROR    	Socket       	0xB907B700	gcsl_socket.c[828]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:33,086 	ERROR    	Socket       	0xB907B700	gcsl_http_impl.c[402]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:33,086 	ERROR    	HTTP         	0xB907B700	[no_source]	Error (0x9004008b) receiving from host
2016-04-25 11:08:33,086 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[2093]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,164 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[933]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,165 	ERROR    	HTTP         	0xB907B700	gcsp_connection.c[444]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,165 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[1244]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,165 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[217]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,165 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[2613]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,165 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[3051]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,165 	ERROR    	HTTP         	0xB907B700	sdkmgr_intf_lookup.c[721]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,165 	ERROR    	HTTP         	0xB907B700	mids_requests.c[1070]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,565 	ERROR    	Socket       	0xB907B700	gcsl_socket.c[828]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:33,565 	ERROR    	Socket       	0xB907B700	gcsl_http_impl.c[402]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:33,565 	ERROR    	HTTP         	0xB907B700	[no_source]	Error (0x9004008b) receiving from host
2016-04-25 11:08:33,565 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[2093]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,635 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[933]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,636 	ERROR    	HTTP         	0xB907B700	gcsp_connection.c[444]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,636 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[1244]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,636 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[217]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,636 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[2613]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,636 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[3051]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,636 	ERROR    	HTTP         	0xB907B700	sdkmgr_intf_lookup.c[721]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,636 	ERROR    	HTTP         	0xB907B700	mids_requests.c[1070]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,737 	ERROR    	Socket       	0xB907B700	gcsl_socket.c[828]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:33,737 	ERROR    	Socket       	0xB907B700	gcsl_http_impl.c[402]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:33,737 	ERROR    	HTTP         	0xB907B700	[no_source]	Error (0x9004008b) receiving from host
2016-04-25 11:08:33,737 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[2093]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,801 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[933]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,801 	ERROR    	HTTP         	0xB907B700	gcsp_connection.c[444]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,801 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[1244]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,801 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[217]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,801 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[2613]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,801 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[3051]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,801 	ERROR    	HTTP         	0xB907B700	sdkmgr_intf_lookup.c[721]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,801 	ERROR    	HTTP         	0xB907B700	mids_requests.c[1070]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,850 	ERROR    	Socket       	0xB907B700	gcsl_socket.c[828]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:33,850 	ERROR    	Socket       	0xB907B700	gcsl_http_impl.c[402]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:33,850 	ERROR    	HTTP         	0xB907B700	[no_source]	Error (0x9004008b) receiving from host
2016-04-25 11:08:33,851 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[2093]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,851 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[933]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,851 	ERROR    	HTTP         	0xB907B700	gcsp_connection.c[444]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,851 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[1244]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,851 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[217]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,851 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[2613]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,851 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[3051]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,851 	ERROR    	HTTP         	0xB907B700	sdkmgr_intf_lookup.c[721]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:33,851 	ERROR    	HTTP         	0xB907B700	mids_requests.c[1070]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,132 	ERROR    	Socket       	0xB907B700	gcsl_socket.c[828]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:34,132 	ERROR    	Socket       	0xB907B700	gcsl_http_impl.c[402]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:34,132 	ERROR    	HTTP         	0xB907B700	[no_source]	Error (0x9004008b) receiving from host
2016-04-25 11:08:34,132 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[2093]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,199 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[933]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,199 	ERROR    	HTTP         	0xB907B700	gcsp_connection.c[444]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,199 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[1244]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,199 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[217]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,199 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[2613]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,199 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[3051]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,199 	ERROR    	HTTP         	0xB907B700	sdkmgr_intf_lookup.c[721]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,199 	ERROR    	HTTP         	0xB907B700	mids_requests.c[1070]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,248 	ERROR    	Socket       	0xB907B700	gcsl_socket.c[828]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:34,248 	ERROR    	Socket       	0xB907B700	gcsl_http_impl.c[402]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:34,248 	ERROR    	HTTP         	0xB907B700	[no_source]	Error (0x9004008b) receiving from host
2016-04-25 11:08:34,248 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[2093]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,249 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[933]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,249 	ERROR    	HTTP         	0xB907B700	gcsp_connection.c[444]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,249 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[1244]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,249 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[217]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,249 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[2613]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,249 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[3051]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,249 	ERROR    	HTTP         	0xB907B700	sdkmgr_intf_lookup.c[721]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,249 	ERROR    	HTTP         	0xB907B700	mids_requests.c[1070]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,332 	ERROR    	Socket       	0xB907B700	gcsl_socket.c[828]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:34,332 	ERROR    	Socket       	0xB907B700	gcsl_http_impl.c[402]	Error 0x9004008b (The server disconnected)
2016-04-25 11:08:34,332 	ERROR    	HTTP         	0xB907B700	[no_source]	Error (0x9004008b) receiving from host
2016-04-25 11:08:34,332 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[2093]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,397 	ERROR    	HTTP         	0xB907B700	gcsl_http.c[933]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,398 	ERROR    	HTTP         	0xB907B700	gcsp_connection.c[444]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,398 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[1244]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,398 	ERROR    	HTTP         	0xB907B700	gcsl_gcsp_transaction.c[217]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,398 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[2613]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,398 	ERROR    	HTTP         	0xB907B700	sdkmgr_impl_lookup_gcsp.c[3051]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,398 	ERROR    	HTTP         	0xB907B700	sdkmgr_intf_lookup.c[721]	Error 0x9014008b (The server disconnected)
2016-04-25 11:08:34,398 	ERROR    	HTTP         	0xB907B700	mids_requests.c[1070]	Error 0x9014008b (The server disconnected)

* Logging stopped:	2016-04-25 11:08:34,638 	
***************************************************
